deadhead_id,service_id,block_id,shape_id,to_trip_id,from_trip_id,to_deadhead_id,from_deadhead_id
55802204,SpgWkd,C10-65,pull0214,55800243,,,
55802679,SpgWkd,C10-65,,,55800262,,
55869914,Jnh,C10-65,pull0214,55867264,,,
55869720,Jnh,C10-65,,,55867273,,
55802564,SpgWkd,C10-66,,55801983,,,
55802245,SpgWkd,C10-66,,,55801988,,
55841110,SpgSnd,C11-39,,55840349,,,
55840966,SpgSnd,C11-39,,,55840834,,
55841083,SpgSnd,C11-40,,55840833,,,
55840992,SpgSnd,C11-40,,,55839602,,
55877522,MmlD,C11-40,,55877268,,,
55877506,MmlD,C11-40,,,55876037,,
55841072,SpgSnd,C11-41,,55839622,,,
55841197,SpgSnd,C11-41,,,55839597,,
55877598,MmlD,C11-41,,55876819,,,
55877599,MmlD,C11-41,,,55876032,,
55837528,SpgStd,C11-49,,55835379,,,
55837708,SpgStd,C11-49,,,55835287,,
55837560,SpgStd,C11-50,,55835323,,,
55837673,SpgStd,C11-50,,,55835317,,
55837728,SpgStd,C11-51,,55835279,,,
55837494,SpgStd,C11-51,,,55835293,,
55869788,Jnh,C11-66,,55866492,,,
55866366,Jnh,C11-66,,55867035,55867278,,
55869699,Jnh,C11-66,,,55866738,,
55802548,SpgWkd,C11-67,,55799226,,,
55799081,SpgWkd,C11-67,,55800006,55800271,,
55802234,SpgWkd,C11-67,,,55799496,,
