"added_route_id","trip_id"
"741","37404305"
"742","37404305"
"741","37404469"
"742","37404469"
"741","37404470"
"742","37404470"
"741","37404471"
"742","37404471"
"741","37404472"
"742","37404472"
"741","37404473"
"742","37404473"
"741","37404474"
"742","37404474"
"741","37404475"
"742","37404475"
"741","37404476"
"742","37404476"
"741","37404477"
"742","37404477"
"741","37404478"
"742","37404478"
"741","37404479"
"742","37404479"
"741","37404480"
"742","37404480"
"741","37404481"
"742","37404481"
"741","37404482"
"742","37404482"
"741","37404483"
"742","37404483"
"741","37404484"
"742","37404484"
"741","37404485"
"742","37404485"
"741","37404486"
"742","37404486"
"741","37404487"
"742","37404487"
"741","37404488"
"742","37404488"
"741","37404489"
"742","37404489"
"741","37404490"
"742","37404490"
"741","37404491"
"742","37404491"
"741","37404492"
"742","37404492"
"741","37404493"
"742","37404493"
"741","37404494"
"742","37404494"
"741","37404495"
"742","37404495"
"741","37404496"
"742","37404496"
"741","37404497"
"742","37404497"
"741","37404498"
"742","37404498"
"741","37404499"
"742","37404499"
"741","37404500"
"742","37404500"
"741","37404501"
"742","37404501"
"741","37404502"
"742","37404502"
"741","37404566"
"742","37404566"
"741","37404584"
"742","37404584"
"741","37404614"
"742","37404614"
"741","37404642"
"742","37404642"
"741","37404664"
"742","37404664"
"741","37404665"
"742","37404665"
"741","37404687"
"742","37404687"
"741","37404713"
"742","37404713"
"741","37404715"
"742","37404715"
"741","37404750"
"742","37404750"
"741","37404754"
"742","37404754"
"741","37404787"
"742","37404787"
"741","37404849"
"742","37404849"
"741","37404870"
"742","37404870"
"741","37404942"
