deadhead_id,arrival_time,departure_time,stop_id,location_sequence,shape_dist_traveled,ops_location_id
55803701,06:35:00,06:35:00,,1,,47800
55803701,06:50:00,06:50:00,17863,2,,
55803702,06:52:00,06:52:00,,1,,47800
55803702,07:08:00,07:08:00,900,2,,
55803703,06:15:00,06:15:00,,1,,47800
55803703,06:30:00,06:30:00,903,2,,
55803704,06:00:00,06:00:00,,1,,47800
55803704,06:25:00,06:25:00,7600,2,,
55803705,05:45:00,05:45:00,,1,,47800
55803705,05:55:00,05:55:00,17863,2,,
55803706,14:00:00,14:00:00,,1,,47800
55803706,14:15:00,14:15:00,11780,2,,
55803707,11:40:00,11:40:00,,1,,47800
55803707,11:55:00,11:55:00,899,2,,
55803708,05:07:00,05:07:00,,1,,47800
55803708,05:22:00,05:22:00,900,2,,
55803709,10:35:00,10:35:00,,1,,47800
55803709,10:50:00,10:50:00,903,2,,
55803710,05:30:00,05:30:00,,1,,47800
55803710,05:50:00,05:50:00,323,2,,
55803711,19:21:00,19:21:00,8178,1,,
55803711,19:44:00,19:44:00,,2,,47800
55803712,09:20:00,09:20:00,,1,,47800
55803712,09:35:00,09:35:00,899,2,,
55803713,19:59:00,19:59:00,33,1,,
55803713,20:09:00,20:09:00,,2,,47800
55803714,10:10:00,10:10:00,17861,1,,
55803714,10:23:00,10:23:00,,2,,47800
55803715,09:50:00,09:50:00,6551,1,,
55803715,10:03:00,10:03:00,,2,,47800
55803716,09:28:00,09:28:00,17861,1,,
55803716,09:41:00,09:41:00,,2,,47800
55803717,10:11:00,10:11:00,29001,1,,
55803717,10:27:00,10:27:00,,2,,47800
55803718,09:32:00,09:32:00,210,1,,
55803718,09:42:00,09:42:00,,2,,47800
55803719,18:19:00,18:19:00,,1,,47800
55803719,18:30:00,18:30:00,178,2,,
55803720,10:04:00,10:04:00,6551,1,,
55803720,10:17:00,10:17:00,,2,,47800
55803721,21:13:00,21:13:00,7600,1,,
55803721,21:40:00,21:40:00,,2,,47800
55803722,14:15:00,14:15:00,,1,,47800
55803722,14:30:00,14:30:00,17863,2,,
55803723,13:11:00,13:11:00,8178,1,,
55803723,13:34:00,13:34:00,,2,,47800
55803724,09:36:00,09:36:00,6551,1,,
55803724,09:49:00,09:49:00,,2,,47800
55803725,19:35:00,19:35:00,33,1,,
55803725,19:45:00,19:45:00,,2,,47800
55803726,11:22:00,11:22:00,900,1,,
55803726,11:43:00,11:43:00,,2,,47800
55803727,10:42:00,10:42:00,903,1,,
55803727,11:01:00,11:01:00,,2,,47800
55803728,08:22:00,08:22:00,899,1,,
55803728,08:38:00,08:38:00,,2,,47800
55803729,16:02:00,16:02:00,,1,,47800
55803729,16:20:00,16:20:00,6551,2,,
55803730,05:44:00,05:44:00,,1,,47800
55803730,06:00:00,06:00:00,900,2,,
55803731,10:12:00,10:12:00,33,1,,
55803731,10:22:00,10:22:00,,2,,47800
55803732,10:18:00,10:18:00,38155,1,,
55803732,10:45:00,10:45:00,,2,,47800
55803733,06:47:00,06:47:00,,1,,47800
55803733,06:55:00,06:55:00,29004,2,,
55803734,15:31:00,15:31:00,,1,,47800
55803734,15:50:00,15:50:00,8178,2,,
55803735,20:13:00,20:13:00,900,1,,
55803735,20:34:00,20:34:00,,2,,47800
55803736,19:59:00,19:59:00,,1,,47800
55803736,20:10:00,20:10:00,178,2,,
55803737,10:15:00,10:15:00,17861,1,,
55803737,10:28:00,10:28:00,,2,,47800
55803738,13:25:00,13:25:00,,1,,47800
55803738,13:40:00,13:40:00,13321,2,,
55803739,15:02:00,15:02:00,178,1,,
55803739,15:11:00,15:11:00,,2,,47800
55803740,18:47:00,18:47:00,1026,1,,
55803740,18:58:00,18:58:00,8178,2,,
55803741,15:39:00,15:39:00,323,1,,
55803741,15:59:00,15:59:00,,2,,47800
55803742,15:28:00,15:28:00,,1,,47800
55803742,15:43:00,15:43:00,6551,2,,
55803743,15:12:00,15:12:00,,1,,47800
55803743,15:27:00,15:27:00,6551,2,,
55803744,20:14:00,20:14:00,1994,1,,
55803744,20:38:00,20:38:00,,2,,47800
