pathway_id,from_stop_id,to_stop_id,facility_id,pathway_mode,is_bidirectional,length,wheelchair_length,traversal_time,wheelchair_traversal_time,stair_count,max_slope,pathway_name,pathway_code,signposted_as,instructions
forhl-004,875,Forest Hills,,1,0,,,180,305,,,Lower Busway to Commuter Rail,,"Commuter Rail - Inbound, Outbound",
forhl-005,10642,Forest Hills,,1,0,,,174,270,,,Upper Busway to Commuter Rail,,"Commuter Rail - Inbound, Outbound",
forhl-006,875,70001,,1,0,,,105,189,,,Lower Busway to Orange Line,,Inbound,
forhl-007,10642,70001,,1,0,,,98,154,,,Upper Busway to Orange Line,,Inbound,
forhl-008,70001,875,,1,0,,,107,199,,,Orange Line to Lower Busway,,Lower Busway,
forhl-009,70001,10642,,1,0,,,110,164,,,Orange Line to Upper Busway,,Upper Busway,
forhl-010,875,10642,,1,0,,,121,182,,,Lower Busway to Upper Busway,,Upper Busway,
forhl-011,10642,875,,1,0,,,111,182,,,Upper Busway to Lower Busway,,Lower Busway,
forhl-012,70001,door-forhl-upper,,1,0,,,69,111,,,Orange Line to Forest Hills - Washington St,,Forest Hills - Washington St,
forhl-013,door-forhl-upper,70001,,1,0,,,57,101,,,Forest Hills - Washington St to Orange Line,,Inbound,
forhl-014,875,door-forhl-upper,,1,0,,,80,129,,,Lower Busway to Forest Hills - Washington St,,Forest Hills - Washington St,
forhl-015,door-forhl-upper,875,,1,0,,,71,129,,,Forest Hills - Washington St to Lower Busway,,Lower Busway,
forhl-016,10642,door-forhl-upper,,1,0,,,41,53,,,Upper Busway to Forest Hills - Washington St,,Forest Hills - Washington St,
forhl-017,door-forhl-upper,10642,,1,0,,,41,53,,,Forest Hills - Washington St to Upper Busway,,Upper Busway,
forhl-018,Forest Hills,door-forhl-upper,,1,0,,,137,217,,,Commuter Rail to Forest Hills - Washington St,,Forest Hills - Washington St,
forhl-019,door-forhl-upper,Forest Hills,,1,0,,,133,217,,,Forest Hills - Washington St to Commuter Rail,,"Commuter Rail - Inbound, Outbound",
forhl-020,70001,door-forhl-arborway,,1,0,,,70,112,,,"Orange Line to Forest Hills - Arboretum, Washington St, South St",,"Forest Hills - Arboretum, Washington St, South St",
forhl-021,door-forhl-arborway,70001,,1,0,,,58,102,,,"Forest Hills - Arboretum, Washington St, South St to Orange Line",,Inbound,
forhl-022,875,door-forhl-arborway,,1,0,,,80,130,,,"Lower Busway to Forest Hills - Arboretum, Washington St, South St",,"Forest Hills - Arboretum, Washington St, South St",
forhl-023,door-forhl-arborway,875,,1,0,,,71,130,,,"Forest Hills - Arboretum, Washington St, South St to Lower Busway",,Lower Busway,
forhl-024,10642,door-forhl-arborway,,1,0,,,74,96,,,"Upper Busway to Forest Hills - Arboretum, Washington St, South St",,"Forest Hills - Arboretum, Washington St, South St",
forhl-025,door-forhl-arborway,10642,,1,0,,,74,96,,,"Forest Hills - Arboretum, Washington St, South St to Upper Busway",,Upper Busway,
forhl-026,Forest Hills,door-forhl-arborway,,1,0,,,138,218,,,"Commuter Rail to Forest Hills - Arboretum, Washington St, South St",,"Forest Hills - Arboretum, Washington St, South St",
forhl-027,door-forhl-arborway,Forest Hills,,1,0,,,133,218,,,"Forest Hills - Arboretum, Washington St, South St to Commuter Rail",,"Commuter Rail - Inbound, Outbound",
forhl-028,70001,door-forhl-lower,,1,0,,,72,116,,,"Orange Line to Forest Hills - Hyde Park Ave, Franklin Park, Zoo, Parking",,"Forest Hills - Hyde Park Ave, Franklin Park, Zoo, Parking",
forhl-029,door-forhl-lower,70001,,1,0,,,61,96,,,"Forest Hills - Hyde Park Ave, Franklin Park, Zoo, Parking to Orange Line",,Inbound,
forhl-030,875,door-forhl-lower,,1,0,,,44,84,,,"Lower Busway to Forest Hills - Hyde Park Ave, Franklin Park, Zoo, Parking",,"Forest Hills - Hyde Park Ave, Franklin Park, Zoo, Parking",
forhl-031,door-forhl-lower,875,,1,0,,,35,84,,,"Forest Hills - Hyde Park Ave, Franklin Park, Zoo, Parking to Lower Busway",,Lower Busway,
forhl-032,10642,door-forhl-lower,,1,0,,,77,99,,,"Upper Busway to Forest Hills - Hyde Park Ave, Franklin Park, Zoo, Parking",,"Forest Hills - Hyde Park Ave, Franklin Park, Zoo, Parking",
forhl-033,door-forhl-lower,10642,,1,0,,,77,99,,,"Forest Hills - Hyde Park Ave, Franklin Park, Zoo, Parking to Upper Busway",,Upper Busway,
forhl-034,Forest Hills,door-forhl-lower,,1,0,,,141,222,,,"Commuter Rail to Forest Hills - Hyde Park Ave, Franklin Park, Zoo, Parking",,"Forest Hills - Hyde Park Ave, Franklin Park, Zoo, Parking",
forhl-035,door-forhl-lower,Forest Hills,,1,0,,,136,222,,,"Forest Hills - Hyde Park Ave, Franklin Park, Zoo, Parking to Commuter Rail",,"Commuter Rail - Inbound, Outbound",
forhl-036,70001,door-forhl-exit,,1,0,,,65,,,,"Orange Line to Forest Hills - Washington St, South St",,"Forest Hills - Washington St, South St",
forhl-037,Forest Hills,Forest Hills-01,,1,0,,,162,276,,,Commuter Rail to Orange Line (Track 1),,Track 1,
forhl-038,Forest Hills-01,Forest Hills,,1,0,,,169,287,,,Orange Line (Track 1) to Commuter Rail,,"Commuter Rail - Inbound, Outbound",
forhl-039,875,Forest Hills-01,,1,0,,,105,189,,,Lower Busway to Orange Line (Track 1),,Track 1,
forhl-040,10642,Forest Hills-01,,1,0,,,98,154,,,Upper Busway to Orange Line (Track 1),,Track 1,
forhl-041,Forest Hills-01,875,,1,0,,,107,199,,,Orange Line (Track 1) to Lower Busway,,Lower Busway,
forhl-042,Forest Hills-01,10642,,1,0,,,110,164,,,Orange Line (Track 1) to Upper Busway,,Upper Busway,
forhl-043,Forest Hills-01,door-forhl-upper,,1,0,,,69,111,,,Orange Line (Track 1) to Forest Hills - Washington St,,Forest Hills - Washington St,
forhl-044,door-forhl-upper,Forest Hills-01,,1,0,,,57,101,,,Forest Hills - Washington St to Orange Line (Track 1),,Track 1,
forhl-045,Forest Hills-01,door-forhl-arborway,,1,0,,,70,112,,,"Orange Line (Track 1) to Forest Hills - Arboretum, Washington St, South St",,"Forest Hills - Arboretum, Washington St, South St",
forhl-046,door-forhl-arborway,Forest Hills-01,,1,0,,,58,102,,,"Forest Hills - Arboretum, Washington St, South St to Orange Line (Track 1)",,Track 1,
