"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"277_-1054","1","277",,,3,,"FFFF7C","000000"
"28_-1054","1","28",,,3,,"FFFF7C","000000"
"282-1054","1","28",,,3,,"FFFF7C","000000"
"283-1054","1","28",,,3,,"FFFF7C","000000"
"285-1054","1","28",,,3,,"FFFF7C","000000"
"286-1054","1","28",,,3,,"FFFF7C","000000"
"287-1054","1","28",,,3,,"FFFF7C","000000"
"289-1054","1","28",,,3,,"FFFF7C","000000"
"29_-1054","1","29",,,3,,"FFFF7C","000000"
"291-1054","1","29",,,3,,"FFFF7C","000000"
"295-1054","1","29",,,3,,"FFFF7C","000000"
"296-1054","1","29",,,3,,"FFFF7C","000000"
"30_-1054","1","30",,,3,,"FFFF7C","000000"
"302-1054","1","30",,,3,,"FFFF7C","000000"
"31_-1054","1","31",,,3,,"FFFF7C","000000"
"32_-1054","1","32",,,3,,"FFFF7C","000000"
"321-1054","1","32",,,3,,"FFFF7C","000000"
"323-1054","1","32",,,3,,"FFFF7C","000000"
"325_-1054","1","325",,,3,,"FFFF7C","000000"
"325-1054","1","32",,,3,,"FFFF7C","000000"
"3251-1054","1","325",,,3,,"FFFF7C","000000"
"326_-1054","1","326",,,3,,"FFFF7C","000000"
"3261-1054","1","326",,,3,,"FFFF7C","000000"
"3262-1054","1","326",,,3,,"FFFF7C","000000"
"329-1054","1","32",,,3,,"FFFF7C","000000"
"331-1054","1","33",,,3,,"FFFF7C","000000"
"334-1054","1","33",,,3,,"FFFF7C","000000"
"335-1054","1","33",,,3,,"FFFF7C","000000"
"336-1054","1","33",,,3,,"FFFF7C","000000"
"337-1054","1","33",,,3,,"FFFF7C","000000"
"34_-1054","1","34",,,3,,"FFFF7C","000000"
"341-1054","1","34E",,,3,,"FFFF7C","000000"
"342-1054","1","34E",,,3,,"FFFF7C","000000"
"343-1054","1","34E",,,3,,"FFFF7C","000000"
"344-1054","1","34E",,,3,,"FFFF7C","000000"
"345-1054","1","34E",,,3,,"FFFF7C","000000"
"346-1054","1","34E",,,3,,"FFFF7C","000000"
"347-1054","1","34E",,,3,,"FFFF7C","000000"
"348-1054","1","34E",,,3,,"FFFF7C","000000"
"349-1054","1","34E",,,3,,"FFFF7C","000000"
"34K-1054","1","34",,,3,,"FFFF7C","000000"
"34T-1054","1","34E",,,3,,"FFFF7C","000000"
"34U-1054","1","34E",,,3,,"FFFF7C","000000"
"34Y-1054","1","34E",,,3,,"FFFF7C","000000"
"35_-1054","1","35",,,3,,"FFFF7C","000000"
"3503-1054","1","350",,,3,,"FFFF7C","000000"
"3504-1054","1","350",,,3,,"FFFF7C","000000"
"3505-1054","1","350",,,3,,"FFFF7C","000000"
"3506-1054","1","350",,,3,,"FFFF7C","000000"
"3507-1054","1","350",,,3,,"FFFF7C","000000"
"3509-1054","1","350",,,3,,"FFFF7C","000000"
"351-1054","1","35",,,3,,"FFFF7C","000000"
"3513-1054","1","351",,,3,,"FFFF7C","000000"
"352_-1054","1","352",,,3,,"FFFF7C","000000"
"352-1054","1","35",,,3,,"FFFF7C","000000"
"353-1054","1","35",,,3,,"FFFF7C","000000"
"354_-1054","1","354",,,3,,"FFFF7C","000000"
"3543-1054","1","354",,,3,,"FFFF7C","000000"
"3544-1054","1","354",,,3,,"FFFF7C","000000"
"3545-1054","1","354",,,3,,"FFFF7C","000000"
"355_-1054","1","355",,,3,,"FFFF7C","000000"
"36_-1054","1","36",,,3,,"FFFF7C","000000"
"363-1054","1","36",,,3,,"FFFF7C","000000"
