elev_id,stop_id
879,place-andrw
880,13
880,70084
880,place-andrw
881,70031
881,place-sull
884,70057
884,place-rbmnl
885,70058
885,place-rbmnl
886,70055
886,place-bmmnl
887,70056
887,place-bmmnl
889,70049
889,place-wimnl
890,70050
890,place-wimnl
891,70021
891,place-dwnxg
892,70020
892,place-dwnxg
896,place-qnctr
896,Quincy Center
897,70097
897,70098
897,place-nqncy
898,70097
898,70098
898,place-nqncy
899,70097
899,70098
899,place-nqncy
900,70097
900,70098
900,place-nqncy
901,70079
901,74611
901,74617
901,place-sstat
903,70025
903,place-haecl
904,70024
904,place-haecl
905,70024
905,place-haecl
906,70024
906,70025
906,70203
906,70204
906,place-haecl
907,70025
907,place-haecl
908,70203
908,70204
908,place-haecl
909,70026
909,70027
909,70205
909,70206
909,place-north
910,70027
910,70206
910,place-north
911,70027
911,place-north
912,70026
912,70027
912,70205
912,70206
912,place-north
913,70044
913,place-aqucl
914,70043
914,70044
914,place-aqucl
915,70043
915,70044
915,place-aqucl
917,70239
917,70240
917,place-prmnl
918,70079
918,74611
918,74617
918,place-sstat
919,70080
919,74611
919,74617
919,place-sstat
920,70239
920,place-prmnl
921,70240
921,place-prmnl
922,70018
922,place-chncl
923,70043
923,70044
923,place-aqucl
924,70044
924,place-aqucl
925,70043
925,70044
925,place-aqucl
926,70079
926,70080
926,74611
926,74617
926,place-sstat
927,6564
927,70080
927,74611
927,74617
927,place-sstat
6476,70079
6476,70080
6476,74611
6476,74617
6476,place-sstat
928,Lynn
929,Lynn
930,Lynn
931,70048
931,place-aport
932,70047
932,place-aport
933,70028
933,70029
933,place-ccmnl
934,74613
934,74615
934,place-wtcst
935,74615
935,place-wtcst
936,74613
936,place-wtcst
937,74616
937,place-crtst
938,74612
938,place-crtst
939,74612
939,74616
939,place-crtst
940,74612
940,74616
940,place-crtst
941,70026
941,70027
941,70205
941,70206
941,place-north
944,Malden Center
944,place-mlmnl
945,70034
945,70035
945,place-mlmnl
946,70087
946,70088
946,place-shmnl
947,70087
947,70088
947,place-shmnl
948,70150
948,70151
948,place-kencl
949,70079
949,70080
949,74611
949,74617
949,place-sstat
951,70073
951,place-chmnl
952,70074
952,place-chmnl
953,70092
953,place-smmnl
954,70091
954,place-smmnl
955,70047
955,70048
955,place-aport
956,70047
956,70048
956,place-aport
957,323
957,70090
957,place-fldcr
958,323
958,70089
958,place-fldcr
961,70061
961,place-alfcl
962,70157
962,place-armnl
963,70156
963,place-armnl
964,70156
964,70157
964,place-armnl
965,70045
965,70046
965,place-mvbcl
966,70045
966,70046
966,place-mvbcl
967,70022
967,70023
967,70042
967,place-state
968,70093
968,70094
968,place-asmnl
969,70093
969,70094
969,place-asmnl
970,334
970,397
970,535
970,70093
970,70094
970,70261
970,70262
970,place-asmnl
971,70151
971,place-kencl
972,70150
972,place-kencl
973,2076
973,20761
973,place-harsq
974,70042
974,place-state
975,70042
975,place-state
976,70154
976,place-coecl
977,70155
977,place-coecl
978,70196
978,70197
978,70198
978,70199
978,place-pktrm
979,70075
979,70076
979,70196
979,70197
979,70198
979,70199
979,place-pktrm
980,70208
980,place-spmnl
981,70207
981,place-spmnl
982,place-portr
982,Porter Square
983,70065
983,70066
983,place-portr
985,70065
985,70066
985,place-portr
985,Porter Square
986,place-portr
986,Porter Square
987,70065
987,70066
987,place-portr
50,Framingham
51,Framingham
52,Route 128
53,Route 128
54,Route 128
55,Route 128
